3R	175000	274999	3R	175000	274999
3R	275000	424999	3R	275000	424999
3R	425000	499999	3R	425000	499999
3R	500000	649999	3R	500000	649999
3R	650000	749999	3R	650000	749999
3R	750000	924999	3R	750000	924999
3R	925000	1049999	3R	925000	1049999
3R	1050000	1149999	3R	1050000	1149999
3R	1150000	1274999	3R	1150000	1274999
3R	1275000	1524999	3R	1275000	1524999
3R	1525000	1699999	3R	1525000	1699999
3R	1700000	1824999	3R	1700000	1824999
3R	1825000	2024999	3R	1825000	2024999
3R	2025000	2124999	3R	2025000	2124999
3R	2125000	2299999	3R	2125000	2299999
3R	2300000	2499999	3R	2300000	2499999
3R	2500000	2724999	3R	2500000	2724999
3R	2725000	2874999	3R	2725000	2874999
3R	2875000	3024999	3R	2875000	3024999
3R	3025000	3224999	3R	3025000	3224999
3R	3225000	3349999	3R	3225000	3349999
3R	3350000	3474999	3R	3350000	3474999
3R	3475000	3674999	3R	3475000	3674999
3R	3675000	3899999	3R	3675000	3899999
3R	3900000	3999999	3R	3900000	3999999
3R	4000000	4174999	3R	4000000	4174999
3R	4175000	4399999	3R	4175000	4399999
3R	4400000	4474999	3R	4400000	4474999
3R	4475000	4699999	3R	4475000	4699999
3R	4700000	4824999	3R	4700000	4824999
3R	4825000	4899999	3R	4825000	4899999
3R	4900000	5099999	3R	4900000	5099999
3R	5100000	5249999	3R	5100000	5249999
3R	5250000	5399999	3R	5250000	5399999
3R	5400000	5549999	3R	5400000	5549999
3R	5550000	5649999	3R	5550000	5649999
3R	5650000	5699999	3R	5650000	5699999
3R	5700000	5799999	3R	5700000	5799999
3R	5800000	5899999	3R	5800000	5899999
3R	5900000	6024999	3R	5900000	6024999
3R	6025000	6099999	3R	6025000	6099999
3R	6100000	6174999	3R	6100000	6174999
3R	6175000	6399999	3R	6175000	6399999
3R	6525000	6624999	3R	6525000	6624999
3R	6625000	6774999	3R	6625000	6774999
3R	6875000	6974999	3R	6875000	6974999
3R	6975000	7249999	3R	6975000	7249999
3R	7250000	7474999	3R	7250000	7474999
3R	7475000	7624999	3R	7475000	7624999
3R	7625000	7799999	3R	7625000	7799999
3R	7800000	8049999	3R	7800000	8049999
3R	8050000	8199999	3R	8050000	8199999
3R	8200000	8324999	3R	8200000	8324999
3R	8325000	8449999	3R	8325000	8449999
3R	8450000	8599999	3R	8450000	8599999
3R	8600000	8774999	3R	8600000	8774999
3R	8925000	9074999	3R	8925000	9074999
3R	9075000	9224999	3R	9075000	9224999
3R	9225000	9324999	3R	9225000	9324999
3R	9325000	9424999	3R	9325000	9424999
3R	9425000	9549999	3R	9425000	9549999
3R	9550000	9674999	3R	9550000	9674999
3R	9675000	9799999	3R	9675000	9799999
3R	9800000	9974999	3R	9800000	9974999
3R	9975000	10074999	3R	9975000	10074999
3R	10075000	10199999	3R	10075000	10199999
3R	10200000	10274999	3R	10200000	10274999
3R	10275000	10399999	3R	10275000	10399999
3R	10400000	10574999	3R	10400000	10574999
3R	10575000	10674999	3R	10575000	10674999
3R	10675000	10799999	3R	10675000	10799999
3R	10850000	10999999	3R	10850000	10999999
3R	11000000	11149999	3R	11000000	11149999
3R	11150000	11224999	3R	11150000	11224999
3R	11225000	11549999	3R	11225000	11549999
3R	11550000	11649999	3R	11550000	11649999
3R	11650000	11699999	3R	11650000	11699999
3R	11700000	11799999	3R	11700000	11799999
3R	11800000	11849999	3R	11800000	11849999
3R	11850000	11924999	3R	11850000	11924999
3R	11925000	12024999	3R	11925000	12024999
3R	12025000	12099999	3R	12025000	12099999
3R	12100000	12149999	3R	12100000	12149999
3R	12150000	12224999	3R	12150000	12224999
3R	12250000	12324999	3R	12250000	12324999
3R	12325000	12424999	3R	12325000	12424999
3R	12425000	12574999	3R	12425000	12574999
3R	12575000	12724999	3R	12575000	12724999
3R	12775000	12874999	3R	12775000	12874999
3R	12875000	13149999	3R	12875000	13149999
3R	13150000	13249999	3R	13150000	13249999
3R	13250000	13324999	3R	13250000	13324999
3R	13450000	13574999	3R	13450000	13574999
3R	13800000	13899999	3R	13800000	13899999
3R	13900000	14199999	3R	13900000	14199999
3R	14300000	14374999	3R	14300000	14374999
3R	14375000	14649999	3R	14375000	14649999
3R	14650000	14799999	3R	14650000	14799999
3R	14800000	14974999	3R	14800000	14974999
3R	14975000	15099999	3R	14975000	15099999
3R	15100000	15199999	3R	15100000	15199999
3R	15200000	15299999	3R	15200000	15299999
3R	15300000	15424999	3R	15300000	15424999
3R	15425000	15524999	3R	15425000	15524999
3R	15525000	15674999	3R	15525000	15674999
3R	15675000	15774999	3R	15675000	15774999
3R	15775000	15924999	3R	15775000	15924999
3R	15925000	16074999	3R	15925000	16074999
3R	16075000	16274999	3R	16075000	16274999
3R	16400000	16524999	3R	16400000	16524999
3R	16525000	16649999	3R	16525000	16649999
3R	16650000	16799999	3R	16650000	16799999
3R	16800000	16924999	3R	16800000	16924999
3R	16925000	17074999	3R	16925000	17074999
3R	17075000	17274999	3R	17075000	17274999
3R	17275000	17399999	3R	17275000	17399999
3R	17400000	17549999	3R	17400000	17549999
3R	17850000	17974999	3R	17850000	17974999
3R	17975000	18099999	3R	17975000	18099999
3R	18100000	18199999	3R	18100000	18199999
3R	18200000	18299999	3R	18200000	18299999
3R	18450000	18574999	3R	18450000	18574999
3R	18575000	18674999	3R	18575000	18674999
3R	18675000	18799999	3R	18675000	18799999
3R	18800000	18924999	3R	18800000	18924999
3R	18925000	19074999	3R	18925000	19074999
3R	19075000	19199999	3R	19075000	19199999
3R	19200000	19299999	3R	19200000	19299999
3R	19300000	19399999	3R	19300000	19399999
3R	19400000	19499999	3R	19400000	19499999
3R	19500000	19624999	3R	19500000	19624999
3R	19625000	19724999	3R	19625000	19724999
3R	19725000	19874999	3R	19725000	19874999
3R	19875000	19974999	3R	19875000	19974999
