X	avgtrue	avgctrl	+3s	-3s
-4.0	1.583333333333333	1.3333333333333333	2.4553531956479766	0.2113134710186897
-3.0	1.7619047619047616	1.3015873015873014	2.030852011086461	0.5723225920881416
-2.0	1.2932330827067673	1.3238095238095242	1.5796412576361238	1.0679777899829246
-1.0	1.3243243243243241	1.4093693693693685	1.5966314797548296	1.2221072589839075
0.0	1.4814814814814816	1.4345679012345687	1.7488299463513721	1.1203058561177652
1.0	1.2526881720430099	1.4383512544802857	1.6686284791856978	1.2080740297748735
2.0	1.2500000000000007	1.3757575757575762	1.7375107656882658	1.0140043858268866
3.0	1.6233766233766225	1.4017316017316013	1.723507149541632	1.0799560539215705
4.0	1.9473684210526316	1.2421052631578946	1.9700863550295686	0.5141241712862206
